id,age,sex,ses_status,BAQ_all,Inattention,PlanningError,crt_all,Raven_all,aot_all,sds_all
136,22,Nő,8,1.57,1.4,1.75,1,12,52,114
180,21,Nő,7,1.66,1.33,2,3,8,54,91
122,21,Nő,8,2.12,2,2.25,0,1,43,73
217,23,Férfi,4,1.52,1.8,1.25,0,0,40,83
153,19,Nő,8,1.6,1.2,2,1,5,52,60
125,23,Nő,8,1.82,1.4,2.25,2,5,49,77
190,24,Nő,9,1.57,1.4,1.75,0,6,58,105
203,22,Nő,7,1.98,1.2,2.75,3,11,57,91
183,20,Nő,8,1.25,1,1.5,0,5,40,86
223,21,Nő,7,1.6,1.2,2,3,3,64,80
142,21,Nő,10,2,1.75,2.25,3,7,60,110
95,23,Nő,8,1.95,1.4,2.5,0,1,44,89
150,20,Nő,8,1.75,2,1.5,0,5,60,89
221,21,Férfi,8,2.75,3,2.5,1,1,44,80
168,20,Férfi,8,2.02,1.8,2.25,3,11,56,99
167,20,Nő,8,1.5,1.25,1.75,2,8,59,115
233,20,Nő,7,2.12,2,2.25,2,8,55,82
85,23,Nő,7,1.57,1.4,1.75,0,8,56,78
113,21,Nő,9,1.98,1.2,2.75,0,5,48,93
174,23,Nő,9,2.42,1.6,3.25,2,6,61,100
172,22,Nő,9,1.98,2.2,1.75,1,4,50,95
65,22,Nő,8,2.38,1.5,3.25,2,6,50,83
71,21,Nő,3,2.25,1.5,3,2,11,47,93
195,21,Férfi,7,2.02,1.8,2.25,3,7,52,84
53,19,Nő,6,1.88,1.25,2.5,0,3,46,87
84,25,Nő,10,1.34,1,1.67,1,4,54,88
164,20,Férfi,6,1.77,1.8,1.75,3,2,45,97
184,19,Nő,8,1.48,1.2,1.75,2,5,59,92
126,21,Nő,7,1.23,1.2,1.25,1,6,61,100
244,23,Nő,8,2.12,1,3.25,0,2,46,81
98,23,Nő,8,1.95,1.4,2.5,3,12,66,73
158,25,Nő,6,2.92,1.6,4.25,3,8,63,85
182,23,Nő,8,1.55,1.6,1.5,0,7,54,102
194,20,Férfi,8,2.1,1.2,3,0,2,64,83
45,24,Férfi,6,2.67,2.6,2.75,3,9,63,63
127,22,Nő,9,1.75,2,1.5,1,4,62,86
178,22,Nő,4,1.75,1,2.5,1,3,49,94
134,20,Nő,8,1.48,1.2,1.75,3,1,49,84
241,22,Férfi,8,1.5,1,2,2,7,43,73
23,26,Férfi,10,1.68,1.6,1.75,2,4,50,107
238,20,Nő,8,1.75,1.5,2,1,11,55,93
232,19,Nő,5,2.62,1.75,3.5,2,2,53,83
222,19,Nő,3,2.55,1.6,3.5,0,7,58,98
1,21,Nő,9,2.38,2,2.75,3,8,68,82
138,23,Nő,10,1.23,1.2,1.25,1,9,63,115
106,21,Férfi,7,2.17,1.6,2.75,0,4,53,87
159,20,Nő,8,2,1.25,2.75,0,2,44,80
47,20,Nő,8,2,1.25,2.75,3,11,57,99
213,24,Nő,7,1.95,1.4,2.5,3,10,51,83
13,19,Nő,5,1.6,1.2,2,1,9,62,99
219,19,Férfi,7,2,1,3,3,10,55,90
2,20,Nő,7,1.5,1,2,3,8,68,87
58,21,Nő,9,2.25,2,2.5,0,9,44,66
22,25,Férfi,7,2,1.25,2.75,2,6,58,95
97,24,Férfi,8,2.55,1.6,3.5,3,11,62,84
89,19,Nő,6,1.7,1.4,2,0,2,47,105
102,22,Nő,4,2.2,1.4,3,1,10,67,92
133,25,Nő,5,1.9,1.8,2,3,10,61,98
115,21,Férfi,7,2.17,1.6,2.75,2,4,54,105
24,21,Nő,6,1.8,1.6,2,0,6,53,82
7,21,Nő,6,3,3.33,2.67,2,1,58,88
208,24,Nő,9,1.12,1,1.25,3,11,61,91
90,23,Férfi,6,1.95,1.4,2.5,3,8,58,90
54,23,Férfi,7,2.25,1.25,3.25,2,7,74,78
55,20,Nő,8,3.02,2.8,3.25,1,4,56,102
226,26,Férfi,8,1.57,1.4,1.75,3,7,64,68
44,19,Nő,8,1.5,1.5,1.5,0,4,49,74
86,19,Nő,6,2.35,1.2,3.5,2,11,56,105
196,20,Nő,6,1.85,1.2,2.5,1,2,58,101
204,23,Nő,7,1.68,1.6,1.75,3,12,60,74
188,20,Nő,8,1.48,1.2,1.75,2,4,57,93
237,20,Nő,6,1.84,1.67,2,1,7,60,113
63,20,Férfi,4,1.62,1,2.25,2,10,54,91
37,25,Nő,9,1.82,1.4,2.25,2,4,48,85
137,20,Férfi,6,2,2,2,2,8,57,91
40,24,Férfi,7,3,2,4,1,6,65,103
21,20,Nő,8,1.92,1.6,2.25,3,7,48,96
87,21,Nő,7,1.7,1.4,2,3,9,58,94
91,20,Nő,7,2.71,1.67,3.75,0,10,56,69
116,23,Férfi,7,2.08,1.4,2.75,0,12,57,88
120,21,Férfi,8,2.12,1.5,2.75,3,7,58,91
80,18,Férfi,6,2.75,3.5,2,0,1,50,83
224,19,Nő,3,2.12,1,3.25,2,5,60,80
118,22,Nő,8,1.65,1.8,1.5,0,10,54,102
36,22,Nő,7,2.08,1.67,2.5,0,2,40,79
70,24,Nő,2,1.88,2,1.75,0,2,59,92
29,19,Nő,9,1.95,2.4,1.5,0,2,53,95
35,20,Nő,3,2.73,2.2,3.25,0,4,54,75
227,23,Nő,2,1.75,1,2.5,3,9,56,92
81,21,Nő,5,1.95,1.4,2.5,0,2,49,97
170,26,Nő,5,3.84,3,4.67,0,2,58,72
175,22,Nő,7,1.25,1,1.5,3,9,69,107
239,19,Nő,8,1.82,1.4,2.25,0,4,59,73
198,22,Nő,7,1.45,1.4,1.5,0,6,56,88
50,21,Nő,2,4,4,4,3,3,48,122
145,19,Nő,7,2.73,2.2,3.25,1,10,62,94
131,21,Nő,5,2.38,3,1.75,0,3,46,77
26,24,Nő,7,3,1.75,4.25,2,8,63,84
5,22,Nő,6,1.45,1.4,1.5,3,8,58,92
185,21,Nő,7,2.65,1.8,3.5,0,9,62,110
205,21,Nő,5,1.92,1.33,2.5,1,4,48,90
42,21,Nő,9,2.1,1.2,3,1,8,55,80
75,21,Nő,9,2.27,1.8,2.75,2,6,50,96
157,21,Nő,8,1.75,1.75,1.75,2,12,61,93
110,22,Nő,2,2.62,2,3.25,1,6,61,67
155,20,Nő,8,1.5,1,2,3,3,72,106
171,27,Férfi,6,2.65,1.8,3.5,3,10,58,100
218,42,Nő,5,1.23,1.2,1.25,3,11,55,124
211,20,Férfi,8,1.57,1.4,1.75,3,9,66,83
212,19,Nő,8,3.5,3,4,0,3,47,91
4,21,Nő,6,1.88,1,2.75,1,7,61,102
163,21,Nő,8,2.77,2.8,2.75,2,7,46,91
242,20,Nő,5,2.75,2,3.5,0,1,59,83
243,19,Nő,9,2,2.33,1.67,0,4,59,81
228,20,Nő,7,3.62,3.75,3.5,0,2,46,99
148,21,Nő,6,1.92,1.6,2.25,0,3,43,94
67,24,Nő,7,2.33,2.4,2.25,0,1,40,82
161,25,Nő,10,3.83,3.4,4.25,3,7,47,93
230,20,Nő,9,1.88,1.75,2,0,6,57,77
10,21,Nő,6,1.57,1.4,1.75,2,6,63,99
109,20,Férfi,7,2.23,2.2,2.25,0,0,48,80
240,19,Nő,6,1.98,1.2,2.75,0,6,47,75
229,22,Nő,8,2.67,2.6,2.75,1,5,58,92
132,20,Nő,6,2,1.5,2.5,1,6,66,82
187,21,Nő,7,2.33,1.4,3.25,2,9,51,90
92,20,Nő,7,2.1,1.2,3,2,11,51,80
197,20,Nő,8,2.92,1.6,4.25,0,7,54,94
56,22,Nő,6,2.15,1.8,2.5,2,9,55,100
186,20,Nő,7,2.55,2.6,2.5,3,9,59,107
209,24,Nő,9,2.65,1.8,3.5,0,4,57,95
123,21,Nő,10,2.79,2.33,3.25,3,9,58,67
39,20,Férfi,7,1.48,1.2,1.75,2,11,59,105
62,21,Nő,6,1.75,1.5,2,1,10,62,105
52,18,Nő,7,2.52,1.8,3.25,0,8,44,92
107,20,Nő,8,1.8,1.6,2,0,2,60,101
176,20,Nő,6,2.05,1.6,2.5,0,5,44,95
