id,age,sex,ses_status,BAQ_all,Inattention,PlanningError,EMOQ_all,error_anticipation,error_strain,learning_from_errors,thinking_about_errors,crt_all,Raven_all,aot_all,sds_all,MAAS_all
53,19,Nő,8,2.55,1.6,3.5,53,13,16,15,9,0,3,54,70,55
217,21,Férfi,7,2.12,1.5,2.75,64,15,18,12,19,1,10,59,62,54
301,19,Nő,9,3.25,3,3.5,64,19,13,12,20,0,6,49,79,44
188,21,Nő,7,1.85,1.2,2.5,65,14,18,12,21,2,8,57,107,49
76,27,Nő,6,1.6,1.2,2,69,14,19,16,20,3,8,47,122,56
352,24,Férfi,7,2.12,1.5,2.75,58,17,8,14,19,2,7,58,103,49
320,23,Férfi,4,2.5,2,3,60,13,13,15,19,2,11,60,77,52
198,23,Nő,5,1.88,2,1.75,79,17,19,19,24,0,7,57,83,40
229,21,Nő,7,1.82,1.4,2.25,64,14,13,17,20,3,9,61,111,48
112,21,Férfi,7,1.57,1.4,1.75,62,11,18,15,18,0,2,40,67,49
90,20,Nő,8,2.98,2.2,3.75,80,22,20,13,25,2,9,59,94,40
164,20,Nő,8,1.95,1.4,2.5,53,13,16,9,15,2,12,57,109,48
248,21,Nő,8,2.1,1.2,3,82,19,20,20,23,2,9,60,59,54
123,22,Nő,4,3.34,2.67,4,41,10,12,9,10,0,1,43,74,42
114,23,Férfi,5,2.12,1.25,3,71,25,8,20,18,2,9,63,86,46
186,18,Nő,7,2.75,1.5,4,69,21,23,7,18,2,5,56,71,45
94,18,Férfi,6,2.38,1.75,3,64,14,12,18,20,1,9,48,114,64
240,20,Férfi,7,2.08,1.4,2.75,54,13,7,16,18,3,3,58,82,60
237,22,Férfi,9,2.58,2.4,2.75,70,16,16,14,24,1,8,62,116,35
36,22,Férfi,9,2.4,1.8,3,54,13,8,15,18,3,7,64,106,46
47,33,Nő,8,2.42,1.6,3.25,76,17,19,17,23,2,12,72,72,44
45,20,Nő,7,2.58,1.67,3.5,58,13,18,7,20,1,10,53,70,44
246,20,Nő,9,1.77,1.8,1.75,53,11,11,14,17,1,10,60,116,57
14,27,Nő,7,2.3,1.6,3,60,18,6,18,18,0,8,73,105,64
225,21,Nő,6,2.83,2.4,3.25,49,20,9,8,12,1,6,55,103,58
299,22,Nő,4,1.95,1.4,2.5,68,9,18,17,24,2,11,62,116,54
121,20,Férfi,5,2.58,1.4,3.75,40,12,8,9,11,3,9,48,79,51
16,20,Nő,6,1.75,1.75,1.75,64,15,16,16,17,0,8,51,102,55
87,21,Nő,8,2.5,2,3,81,24,21,12,24,3,11,64,79,45
124,20,Férfi,7,2.62,2.25,3,76,14,24,14,24,3,8,65,85,55
89,19,Férfi,6,2.33,1.4,3.25,70,18,21,16,15,2,12,67,64,44
57,18,Nő,8,3,3,3,76,22,21,18,15,0,2,73,70,41
13,20,Nő,6,1.62,1.25,2,63,12,18,15,18,2,9,56,96,55
327,20,Férfi,7,2.17,1,3.33,54,20,10,13,11,3,10,54,81,71
361,20,Nő,8,2.62,1.25,4,70,16,25,8,21,3,3,54,56,47
104,22,Nő,8,1.73,1.2,2.25,74,18,18,16,22,3,6,54,95,51
25,22,Férfi,8,1.95,1.4,2.5,45,15,8,9,13,3,6,59,65,54
331,21,Nő,8,1.88,1.25,2.5,59,17,12,11,19,2,8,61,97,55
362,24,Nő,8,2.42,1.6,3.25,61,16,11,16,18,0,3,55,66,44
91,21,Nő,8,2.4,1.8,3,74,17,20,14,23,0,8,57,67,47
306,25,Nő,6,2.12,1,3.25,83,21,18,20,24,2,8,54,81,48
338,22,Nő,9,2.02,1.8,2.25,63,12,18,15,18,1,1,58,105,44
131,20,Férfi,9,2.65,1.8,3.5,60,12,16,16,16,3,12,49,85,56
