index	neme	eletkora	gyermeke	isk	anyagi	p_elmeny_percent	testi_fi	alt_lelki	alt_eg_all	fizero	arcocska	aggodalo	ideges	feszult	nyugtala	diener1	diener2	diener3	diener4	diener5	diener6	diener7	diener8	jollet	savor	a_vhat	onreg	rezil	m_flow	g_jerz	g_jpszi	g_jszoc	g_jspir	g_jerzpsz	g_jspszoc	pik_mm	pik_av	pik_onr	pik_rez	p_poz_erz	p_elmely	p_poz_kapc	p_ert_cel	p_telj	p_boldog	p_egeszs	p_neg_erz	p_magany	perma
103	no	47	3	foiskola	4	40	4	3	4	4	3	4	4	4	4	6	4	4	5	6	6	5	6	3	2.3333	4.4	3.3333	3	5.3333	2.8	3.5	2.5	3.75	3.15	3.125	3	3.75	2.3333	3	19	23	15	21	24	6	21	18	9	142
105	no	40	2	foiskola	3	70	4	5	4	3	1	1	1	1	1	7	7	7	7	7	7	7	7	6	6	6	5.6667	5.6667	6	5	5.25	5.75	6	5.125	5.875	3.8333	4	3.3333	4	24	25	30	29	27	8	20	11	0	192
113	no	72	0	egyetem	3	60	4	NA	5	4	3	4	1	1	1	6	6	5	6	6	7	7	7	5	4.6667	5.6	5	5	5.6667	4	4	5	5.25	4	5.125	3.5	3.5	3.3333	4	23	27	25	25	21	8	25	3	3	188
119	no	64	0	foiskola	3	80	3	5	3	3	2	3	3	3	1	5	4	5	4	5	6	6	6	5	3.3333	5.8	3.3333	5	4.3333	5	4.25	4	4.25	4.625	4.125	3.3333	3.5	2.3333	2	26	17	11	25	26	8	17	5	10	155
123	no	42	2	foiskola	4	10	4	4	4	3	5	6	6	6	6	5	6	5	7	6	6	6	6	4.3333	6	5.2	5.6667	4	2.6667	3.2	3.5	2.75	5.5	3.35	4.125	2.6667	3.5	3.3333	4	24	23	25	25	24	8	24	9	1	183
129	no	42	1	egyetem	3	70	4	4	4	5	2	3	3	4	3	7	4	6	6	5	6	5	5	4.3333	4.3333	5.8	3.6667	3.3333	5.3333	3.8	4.25	3.25	3.75	4.025	3.5	2.8333	3.75	3	4	24	22	20	29	27	9	23	15	9	170
131	no	53	1	egyetem	4	60	4	3	4	4	3	3	3	3	3	4	4	4	5	4	4	4	4	3	3.6667	3	3.6667	3	4	2.8	2.5	3	3.5	2.65	3.25	2.1667	2	3	3	17	12	17	18	20	5	24	16	5	132
134	no	53	4	kozepiskola	3	60	4	4	NA	3	4	2	2	2	3	4	5	6	4	5	5	5	4	4.3333	4.3333	4.2	3.6667	4	4.6667	4.2	3.75	3.75	3.75	3.975	3.75	3	3.5	2.3333	2.3333	24	28	27	23	23	8	22	5	1	189
141	no	44	2	egyetem	3	70	4	3	2	3	3	6	4	5	3	3	4	4	4	5	6	2	4	3.6667	4	3.2	3	1.3333	4.6667	2.6	2.75	3.5	2.75	2.675	3.125	2.1667	2.25	2.3333	1.6667	16	21	22	19	17	6	21	18	9	135
143	no	73	2	egyetem	3	70	4	5	5	5	2	2	2	2	2	6	7	7	7	6	6	6	6	5.3333	5	4.2	5	5	5.3333	4.6	4.25	5.75	6	4.425	5.875	2.8333	3	3.6667	3.3333	28	28	28	30	26	10	29	4	0	215
146	no	75	2	kozepiskola	3	50	4	5	5	5	2	5	1	5	1	5	2	5	2	5	5	5	5	5.3333	5	5	2	4	5.3333	4	4	1	1	4	1	4	4	2.3333	4	27	30	30	27	18	9	24	5	1	199
147	no	44	2	kozepiskola	3	20	4	4	4	4	6	6	6	6	6	6	6	7	6	6	6	5	6	4.6667	5	5	3.3333	3.6667	5.3333	4.8	4.75	4.75	5.25	4.775	5	3	3.25	2	3.3333	24	24	25	28	27	7	27	6	6	190
152	no	49	1	kozepiskola	3	90	5	6	6	6	4	2	1	1	1	6	7	6	7	7	7	7	7	4.6667	3	5.8	6	4.6667	6	4.4	5.25	6	6	4.825	6	3.8333	4	4	4	23	27	28	26	19	8	30	9	0	192
162	no	54	1	kozepiskola	3	40	2	2	3	2	2	2	2	1	2	5	5	5	5	5	5	5	5	6	4	5	2	3.3333	6	3.4	3.25	2.25	3	3.325	2.625	2.3333	2.5	3.6667	3.3333	19	22	13	16	17	7	13	13	1	133
167	ferfi	60	2	egyetem	4	80	4	3	4	5	2	3	3	3	2	6	6	6	5	6	6	6	5	4.6667	5	3.8	4.6667	4.6667	4.6667	4.2	4.5	4.75	4.75	4.35	4.75	3.3333	3	3	3.6667	25	25	29	26	25	9	25	9	1	194
169	no	55	2	foiskola	3	90	4	5	4	5	3	2	1	1	1	7	7	7	7	7	7	7	7	6	5.6667	6	5.3333	4.3333	5.6667	5.8	5.75	5.5	6	5.775	5.75	3.8333	4	3.6667	3	25	23	28	30	25	9	24	9	1	194
171	no	45	1	foiskola	3	40	4	3	4	3	3	6	6	6	5	5	5	6	5	6	5	3	4	4.3333	4	3.4	4.3333	2.6667	5.3333	3.4	4.25	3.75	4.25	3.825	4	2.1667	1.75	3.3333	3	19	25	24	24	22	8	24	15	3	168
174	no	52	4	egyetem	3	50	5	4	5	5	1	2	1	2	3	6	5	6	6	7	6	6	6	5.3333	5.3333	5.8	4.3333	5.3333	5.6667	5	4.5	5	5.25	4.75	5.125	3	3.75	3	4	23	26	26	28	27	8	28	5	1	200
176	no	38	2	foiskola	3	50	4	3	4	3	4	4	4	4	3	6	6	6	7	6	6	5	5	3.3333	4.3333	4	3.3333	2.6667	4.6667	3.4	3.5	3.25	3.75	3.45	3.5	2.3333	2	2	3.3333	23	15	25	25	24	6	25	11	2	170
179	no	50	3	kozepiskola	3	50	NA	4	4	4	3	4	4	4	3	5	4	5	6	5	5	5	5	4.3333	4.6667	4.8	4	4	4	3.8	3.5	3.25	3	3.65	3.125	3	3.5	2.3333	2.3333	21	18	17	19	20	6	19	12	5	143
182	no	59	2	foiskola	4	80	4	5	5	3	2	2	1	1	1	6	5	7	7	6	6	7	6	4.3333	6	5.4	6	3.3333	4.3333	4.6	5.25	4.75	5.5	4.925	5.125	3.5	3.5	4	4	27	26	26	27	28	9	27	3	0	207
184	no	38	0	egyetem	3	40	3	4	4	NA	4	6	6	5	6	7	6	7	6	6	6	7	5	5.3333	5	5.8	5.3333	4	6	4.8	5	4.75	5.75	4.9	5.25	3.5	4	3	4	20	30	26	28	24	8	25	10	0	191
189	ferfi	49	2	egyetem	3	10	3	3	5	5	3	4	3	3	2	4	3	4	5	5	6	6	6	2.6667	4.3333	5	4.3333	3.3333	4	3.4	4	3.25	4	3.7	3.625	3.3333	3.5	3.6667	3.3333	18	22	15	23	22	6	26	15	4	153
191	no	45	0	kozepiskola	3	40	4	3	4	4	4	5	6	6	6	4	4	3	4	3	3	4	4	2.3333	3.3333	3.2	4.6667	4.6667	4.3333	1.8	3	2	3	2.4	2.5	2.6667	2.75	2.3333	1.6667	19	21	15	17	17	5	24	16	8	134
192	no	48	0	kozepiskola	3	40	3	4	3	2	2	1	2	4	1	4	4	5	6	5	5	5	5	4	4.6667	3.6	5.3333	4	4.3333	3.2	2.75	3	3.75	2.975	3.375	2.6667	2.75	2.6667	3	20	19	22	17	17	7	14	10	0	146
199	no	39	2	kozepiskola	4	60	4	4	4	4	4	5	5	5	5	6	7	6	6	6	6	6	6	4.3333	4.3333	4.8	3.6667	5	5.3333	4	4.25	5	5.25	4.125	5.125	2.6667	3.5	3	3.6667	21	21	25	24	23	7	23	9	0	175
201	no	60	2	foiskola	4	70	6	4	5	4	2	4	2	2	1	6	6	6	6	6	6	6	6	4.6667	4.6667	4.4	4.3333	4	5.3333	4.8	4.75	5	5.25	4.775	5.125	3.1667	3	3	2.6667	26	26	27	26	26	9	29	5	3	201
211	no	43	2	kozepiskola	3	70	4	4	4	NA	2	1	1	2	2	5	5	5	6	5	5	5	5	3	4.6667	4	3.6667	3.6667	3.6667	4.4	4.75	3.5	4	4.575	3.75	3.3333	3	2	2	26	23	26	25	25	9	26	6	7	187
216	ferfi	44	2	foiskola	3	50	5	4	NA	5	4	2	2	2	1	5	4	5	4	5	5	5	4	4.6667	5	5.2	5.3333	3	5	4.2	4.5	3.5	4.75	4.35	4.125	3.3333	3.25	4	3.6667	22	23	14	23	22	7	24	7	6	162
220	no	58	3	egyetem	3	60	5	5	5	5	2	2	2	2	2	6	6	6	6	6	6	6	5	5	5	4.8	4.6667	4	4	4.8	4	3.5	3.25	4.4	3.375	3.3333	3.75	3.6667	2.3333	24	17	29	20	16	9	27	11	0	171
222	no	56	3	egyetem	4	30	5	5	5	6	2	1	1	2	1	7	7	7	7	7	7	7	7	6	6	6	5.3333	5.6667	5.6667	6	5.75	5.5	5	5.875	5.25	4	4	4	3.6667	26	27	29	27	28	9	26	3	0	209
223	no	61	2	foiskola	3	80	4	4	4	4	2	2	2	2	2	6	6	6	6	6	6	6	6	5	5	4.4	4.3333	4	5	4	4	4	4	4	4	3.5	3.25	3.6667	3.3333	24	25	24	24	25	8	26	6	2	188
230	no	62	4	foiskola	3	90	5	6	6	6	1	1	1	1	1	7	7	7	6	7	6	7	6	6	5.3333	5.2	6	6	6	5.8	5.75	5.25	6	5.775	5.625	3.6667	3.5	4	4	30	26	30	30	26	10	27	2	0	217
235	no	59	2	foiskola	3	80	4	5	4	4	1	2	2	2	2	6	6	6	6	6	7	7	6	5	5	5.2	5.6667	5	5.3333	5	4.75	4.75	5	4.875	4.875	3.6667	3.75	4	4	26	26	27	25	25	9	24	6	1	195
238	no	45	2	egyetem	4	30	4	3	4	2	3	3	3	3	4	4	2	7	4	4	4	2	6	2.3333	2.6667	2.6	4.6667	2.6667	5	3.4	2.75	2.25	3	3.075	2.625	2.5	2	2.3333	2.3333	20	23	25	20	15	8	20	11	7	153
241	no	58	3	foiskola	2	60	3	3	2	3	5	4	5	5	6	3	3	3	6	7	6	6	7	1.3333	1	3.2	5.6667	2	3.3333	2.4	3	3.5	2	2.7	2.75	2.1667	3.5	4	2	13	18	16	9	16	2	10	17	8	99
250	ferfi	72	1	egyetem	1	10	1	4	1	1	4	4	4	4	4	7	1	7	7	7	4	4	1	3.3333	5.3333	5.6	3.3333	4.6667	6	3.2	4.5	3	3.75	3.85	3.375	2.1667	3.75	2.6667	2.3333	18	19	0	25	13	8	0	19	10	94
257	no	66	2	foiskola	3	40	4	5	4	3	2	2	1	1	1	5	4	6	6	6	6	6	6	5	5	5.4	5	4.3333	6	4.6	5	3.5	4.75	4.8	4.125	3	3.5	4	4	25	27	19	23	22	8	22	5	0	181
258	no	66	2	kozepiskola	3	30	3	4	3	2	4	2	2	2	2	5	5	5	3	4	5	5	5	4.6667	4.3333	4.4	4.6667	4.3333	4.3333	4.2	3.5	3.25	3.75	3.85	3.5	3	3	3.3333	2.6667	23	24	24	23	24	8	21	14	3	170
268	no	45	0	egyetem	3	30	4	4	4	4	4	4	3	3	3	6	6	6	5	6	6	5	6	4	4.6667	4.2	5.3333	4	4.6667	3.6	3.75	4	4.25	3.675	4.125	3	3	3.3333	3.3333	19	23	25	23	22	8	21	7	1	173
271	no	64	3	kozepiskola	3	20	3	4	4	4	2	3	3	3	4	6	6	6	5	5	5	5	4	5	2.3333	4.4	2	2	5	4.8	4.25	3.5	4.25	4.525	3.875	2.5	3.5	2.3333	2.3333	26	23	23	26	24	9	24	9	9	177
272	no	80	1	foiskola	3	80	4	5	4	4	1	2	1	1	2	7	6	7	5	7	6	6	6	5	5.3333	4.6	4.6667	4.3333	5.6667	4.2	4	3.5	4.25	4.1	3.875	3.6667	3.25	3.6667	3.6667	24	26	24	28	23	8	20	7	1	185
278	no	64	1	foiskola	3	80	4	4	4	4	2	3	4	4	3	7	7	7	6	7	7	7	7	5.6667	5.6667	5.6	5	5	5.3333	4.6	4.75	5	5	4.675	5	3.3333	3.75	3.3333	4	22	24	23	22	24	8	23	13	6	167
279	no	57	1	egyetem	3	80	4	5	3	4	2	2	2	2	2	7	7	7	7	7	7	7	7	5.3333	6	6	5.6667	4.3333	6	5	5.25	5.25	5.5	5.125	5.375	3.6667	3	3.3333	4	28	26	24	29	27	9	17	5	1	194
285	ferfi	54	1	egyetem	3	30	4	4	4	4	5	4	4	4	5	5	4	4	5	5	5	5	4	5	4.3333	4	4.6667	3.6667	4.6667	4	3.75	2.75	3.25	3.875	3	3	3.25	3.3333	4	24	18	19	23	23	8	22	7	5	165
291	no	57	1	kozepiskola	3	80	5	5	5	5	1	2	2	2	1	6	6	7	6	6	6	6	6	5.3333	5	4	4.6667	5	5.3333	5.6	5	4.75	4.75	5.3	4.75	3.3333	2.5	3.6667	3.6667	27	26	27	27	26	9	29	3	1	207
292	ferfi	36	0	kozepiskola	2	20	4	4	4	2	5	2	2	2	2	4	4	4	4	4	4	4	3	3	3	3	4	3.3333	3.3333	3	3	3	3	3	3	2	2	2.3333	3	14	14	9	15	14	2	17	24	8	93
299	no	66	2	foiskola	3	10	6	5	6	6	3	5	4	2	2	4	4	6	5	5	5	4	5	3.3333	3	3.8	5.3333	3	4.3333	2.4	3.25	2	2.5	2.825	2.25	2	2.75	4	3	16	15	18	24	16	5	27	10	2	149
305	no	53	1	kozepiskola	3	60	4	3	4	4	3	3	1	3	5	1	3	1	3	5	3	2	3	3.3333	4.6667	3.2	3.6667	5.3333	3.3333	2.8	3	1.25	3	2.9	2.125	2.1667	2.75	2.3333	3	20	21	26	19	23	5	25	22	8	149
307	no	62	3	kozepiskola	3	80	6	6	6	5	2	1	1	1	1	7	7	7	7	7	7	7	7	5.6667	5	5.2	3	4	5.6667	5.2	5.75	5.75	4.25	5.475	5	2.1667	2	4	4	29	30	30	30	29	9	29	2	0	224
311	ferfi	51	3	foiskola	3	70	6	5	6	6	1	1	1	1	1	6	4	5	4	5	5	6	5	5	4.3333	4.8	5	5	5.3333	5.2	5	3.75	5.25	5.1	4.5	3.1667	2.75	3.3333	3.3333	23	20	24	25	24	8	30	6	7	181
318	ferfi	42	1	kozepiskola	3	50	5	6	6	6	3	4	2	4	2	7	7	7	7	5	7	5	5	5	6	5.2	3	4.6667	4.3333	4.4	6	4.5	4.5	5.2	4.5	3	3.75	3	3.3333	24	20	28	30	24	9	28	10	2	191
321	no	43	2	kozepiskola	3	70	4	4	4	3	2	4	2	4	2	7	6	7	6	7	7	7	6	5.3333	5.3333	4.8	5.3333	3.6667	5.6667	4.4	4.75	4.25	5	4.575	4.625	3.1667	3	3.6667	3.6667	25	23	26	24	22	9	16	10	0	175
322	no	37	0	egyetem	4	60	5	5	5	5	2	4	4	4	3	5	6	5	5	6	5	5	5	5	5.3333	5.4	2.3333	4.3333	4.6667	4	4	4.25	5	4	4.625	3.5	3.75	2	3.3333	25	23	27	25	26	8	28	16	4	182
324	no	45	1	foiskola	3	40	4	3	3	3	2	2	2	2	2	6	5	5	6	5	6	5	5	4.6667	5.3333	5.4	3.6667	3.6667	4.6667	4.4	5	4	4	4.7	4	3.6667	4	3	3.3333	25	25	24	23	24	8	26	11	3	181
326	no	68	2	kozepiskola	3	40	5	5	5	5	2	1	1	2	1	7	7	7	7	7	7	7	7	6	6	5.8	6	5.3333	6	5.2	5.25	5.75	6	5.225	5.875	3.8333	3.75	2.6667	4	28	30	29	29	26	10	29	3	0	218
327	no	56	3	kozepiskola	3	20	5	2	5	5	3	6	3	5	5	4	5	5	6	7	7	4	6	3.3333	4.6667	3.6	4.3333	3	4	3.4	3.75	3.25	4.75	3.575	4	2.5	3.25	3.3333	2	15	25	20	19	22	5	25	17	9	145
332	no	40	1	kozepiskola	3	60	3	3	3	2	3	2	2	3	4	5	4	5	5	7	5	5	4	4	3.6667	3.8	1.3333	4	5.3333	3.2	3.75	2.75	3.5	3.475	3.125	2.3333	2.75	1	2	15	17	11	19	20	5	14	19	8	114
341	no	49	3	kozepiskola	3	80	5	5	5	5	2	2	2	2	1	6	7	6	7	7	7	7	7	5.6667	4.6667	5.8	5	5	5.3333	5.4	5.75	5.75	6	5.575	5.875	4	4	3.6667	4	25	25	26	27	24	9	29	3	1	201
344	no	53	3	foiskola	3	60	6	5	6	6	2	3	2	2	1	6	6	6	6	6	6	6	6	5.3333	2.6667	5.2	4.3333	4.3333	4.6667	5.2	5	4	3	5.1	3.5	2.8333	4	3.3333	3.3333	23	26	27	25	26	9	30	10	1	195
345	no	56	1	foiskola	3	70	4	4	3	4	3	3	2	2	2	6	6	6	6	6	6	6	6	4	4	4.8	3.3333	3.3333	4	4.2	4.75	5	5	4.475	5	3.1667	3.5	2.6667	3.6667	21	21	23	26	28	8	20	13	5	169
349	no	51	1	kozepiskola	3	80	5	5	5	5	1	3	2	2	2	7	6	6	6	6	6	7	6	4	5	5	4.6667	4	5	4.8	5.25	4.5	5.75	5.025	5.125	3.1667	3.5	3.3333	3.6667	25	26	24	26	24	9	29	6	4	193
351	no	61	2	foiskola	3	50	4	4	4	4	3	3	2	2	1	6	6	6	6	6	6	6	6	4	5	5.8	5	5	4	4.2	4.25	4.5	4.75	4.225	4.625	3.5	4	3.3333	4	24	26	27	27	26	9	24	8	9	186
356	no	55	2	kozepiskola	3	90	5	4	5	4	1	1	1	1	3	4	4	6	3	6	6	7	7	5	5	4.8	3.6667	4.6667	4.6667	4	3.75	3	3	3.875	3	3.1667	3.5	3	2.6667	21	26	15	21	25	8	28	3	0	181
361	no	56	2	foiskola	3	50	5	4	4	4	2	2	2	2	1	6	6	6	6	6	6	7	6	4.6667	4.6667	5.4	6	4.6667	5.3333	4.4	4.75	5	5	4.575	5	3.8333	4	4	3.3333	25	25	24	26	26	8	27	6	0	195
363	no	48	0	foiskola	3	50	6	4	5	6	1	3	2	3	3	7	6	6	5	7	6	6	5	5	4.6667	5.6	6	3.6667	5.6667	3.8	4.75	4.5	5.75	4.275	5.125	3.6667	3.5	4	4	23	25	19	27	24	7	28	9	1	183
369	no	41	1	kozepiskola	3	60	4	4	2	4	2	1	2	1	1	6	6	6	7	7	6	6	5	4.6667	4	4.2	2	4.6667	5.3333	4.2	4.25	4	4.25	4.225	4.125	2	2	3.3333	2	23	27	25	27	25	8	23	3	0	195
370	no	52	1	foiskola	3	60	3	3	2	2	3	4	3	3	3	5	5	4	5	5	4	4	5	4	5	3.4	4	3.3333	4.3333	3.6	3.75	3.5	4.5	3.675	4	2.3333	2	2.3333	2.6667	20	20	26	24	20	7	16	14	5	154
380	ferfi	51	2	foiskola	3	50	4	4	4	4	2	2	2	2	2	6	6	6	5	6	6	6	5	5	4.3333	4.6	5.3333	4	5	4.2	4.25	3.75	4	4.225	3.875	3	3.5	3.6667	3.6667	23	26	26	24	25	8	25	9	2	186
396	no	63	3	kozepiskola	2	80	5	5	4	4	2	3	2	1	2	6	5	5	5	6	6	6	6	4.6667	4	4.4	4.3333	4	4.6667	4	4	3	3.25	4	3.125	2.6667	3.5	4	4	24	15	23	22	24	10	26	11	1	172
397	no	39	1	foiskola	3	50	4	2	2	1	5	5	4	4	4	2	2	1	2	2	2	1	1	2	3.6667	2	2	1	2.6667	1.2	1	1.5	1	1.1	1.25	1.6667	2	2	2	8	9	12	7	9	2	12	17	2	80
401	no	52	1	foiskola	3	60	5	4	5	4	3	4	2	4	3	6	6	6	6	7	6	5	7	5	4.3333	5.2	3.6667	1.6667	4	4	3.5	3.75	4	3.75	3.875	3.1667	3.5	2.3333	3	20	16	19	20	24	7	25	11	5	155
402	no	36	0	kozepiskola	3	30	4	4	4	4	3	5	5	5	5	6	6	6	6	7	7	7	6	5.3333	6	6	2.6667	5	5.3333	4.6	4.5	5	5.75	4.55	5.375	3.1667	4	2.6667	3	23	22	29	27	25	9	23	11	7	180
417	no	38	1	kozepiskola	3	50	4	4	3	4	1	4	4	4	3	4	3	3	3	4	4	4	4	3.6667	5	4.2	3.6667	4	3.6667	5	4.5	3.25	4	4.75	3.625	2.8333	3	3	2.3333	19	24	15	17	20	7	15	10	3	144
421	no	43	4	foiskola	3	70	4	5	5	5	2	2	2	2	2	6	7	7	7	7	6	7	6	5.6667	4.6667	5.4	5.3333	6	6	5.2	4.5	5.25	5.25	4.85	5.25	3.8333	3.5	3.6667	3.6667	27	23	27	23	25	9	19	6	7	180
426	no	53	3	egyetem	3	90	4	5	4	4	3	2	1	1	2	6	6	6	6	6	6	6	6	5	4	4.6	6	3.6667	5.3333	4.2	4.25	3.75	4.25	4.225	4	3.1667	3	4	4	26	26	27	27	26	8	24	7	1	196
441	no	63	2	foiskola	3	50	5	5	5	5	2	6	4	5	5	7	6	7	7	7	7	6	6	5	5	4.8	3.3333	4.6667	5.3333	5	4.75	4	4.25	4.875	4.125	3.3333	3	2.6667	3.6667	26	25	28	28	27	9	25	7	9	192
443	no	46	2	kozepiskola	4	90	5	5	5	5	2	1	1	1	1	6	5	5	4	6	6	6	6	5	5	4	5	3.6667	5.3333	4.8	5	4.75	4.75	4.9	4.75	3.5	2.5	3.3333	3.6667	27	26	26	29	28	9	28	4	0	209
449	no	57	2	foiskola	3	50	3	5	3	4	3	2	2	1	2	7	6	7	6	7	6	7	6	4	5.6667	5.4	5.6667	5.3333	5.6667	4.6	4.5	4	4.5	4.55	4.25	3.8333	3.25	3.6667	3.3333	26	26	24	26	26	9	21	12	2	184
453	no	50	1	kozepiskola	3	50	3	4	4	4	1	2	1	1	2	6	5	5	4	4	5	6	6	5	5.3333	4.8	5	4.3333	4	4.2	4.5	3.5	4.5	4.35	4	3.1667	3	3.3333	3.3333	26	21	26	24	22	9	16	4	0	180
457	no	47	0	kozepiskola	3	40	4	4	4	4	3	3	2	2	3	4	4	4	4	4	4	4	4	3.6667	4.6667	3.8	3.3333	4	3.6667	2.8	3.5	2.75	3.25	3.15	3	2	2.75	3	4	15	17	17	17	17	5	17	11	3	131
466	no	48	1	foiskola	4	90	4	4	4	4	3	1	1	1	1	6	7	7	7	7	7	6	6	5.3333	5.6667	5.4	5.3333	4.6667	5.3333	3.4	2.5	3	2.25	2.95	2.625	3.5	3.5	4	3.6667	24	25	25	27	22	7	20	7	3	180
485	no	53	2	egyetem	3	60	4	4	4	5	3	4	2	3	5	6	6	7	6	6	6	6	6	4.6667	4.3333	5.2	4.3333	3.6667	5	4	5	4.75	4	4.5	4.375	3.1667	3.75	2.6667	3.3333	24	20	25	21	22	6	22	7	1	172
491	no	61	2	egyetem	4	80	5	5	5	5	1	1	1	1	1	7	6	6	2	6	6	6	6	6	4.6667	6	6	6	5.6667	5.8	4.75	3.5	2	5.275	2.75	3.8333	4	4	3.6667	26	26	25	26	26	9	28	3	1	202
492	ferfi	69	0	kozepiskola	1	50	1	2	2	2	4	2	2	2	2	7	4	6	6	6	6	6	6	2	2	2	5	3	3	2.4	2	2	2.25	2.2	2.125	4	4	1	1	17	10	16	17	15	7	2	21	5	98
500	no	50	3	foiskola	3	70	3	4	3	3	2	2	2	2	1	6	5	6	6	6	5	6	5	5	4.6667	4.4	4.6667	4	5.3333	3.8	4	3.75	4	3.9	3.875	3	2.75	3.3333	3.6667	24	26	21	24	22	8	17	8	2	172
506	no	73	2	egyetem	3	60	3	4	3	3	3	3	2	2	2	4	5	4	5	5	5	5	5	3.6667	4.6667	4.2	5.3333	3.3333	4.3333	3.2	3.25	4.5	4.5	3.225	4.5	2	2.75	3.6667	2.6667	17	13	22	20	15	6	15	8	2	138
510	no	32	0	kozepiskola	3	50	4	4	3	5	3	2	2	2	2	6	6	6	5	7	6	6	6	5	5.3333	4.6	4.3333	4	5.3333	4	4.5	4.25	4.75	4.25	4.5	3.8333	3.75	3.6667	3.3333	22	20	22	24	23	7	23	8	7	166
511	ferfi	57	2	foiskola	3	40	5	4	5	5	1	2	2	2	2	6	6	6	6	6	6	6	6	5.3333	5	5	5.3333	5	5.3333	4.4	4.5	5	5	4.45	5	4	4	3.6667	3	24	19	24	23	26	9	22	10	3	174
514	no	54	3	kozepiskola	3	70	4	6	5	3	1	1	1	1	2	7	7	7	7	6	6	7	6	6	5.6667	5	3.3333	4	5.3333	6	5.5	5.75	5.75	5.75	5.75	3.6667	3.75	3.3333	4	27	22	28	27	24	9	20	5	2	190
517	no	32	0	foiskola	3	70	5	5	4	3	3	1	1	1	1	6	4	5	4	5	6	7	6	5	4.3333	4.2	5	3	5	4.2	4.25	3	3.75	4.225	3.375	3.1667	3	3.6667	3.3333	25	22	26	26	24	8	28	4	1	194
518	no	57	3	kozepiskola	3	60	3	3	2	3	2	3	3	3	2	5	6	5	6	6	6	6	5	4	4.6667	4.6	3.6667	3.6667	5	3.2	3.5	3.25	4	3.35	3.625	2.8333	2.75	2.3333	2.3333	21	25	25	23	18	8	19	11	3	165
519	no	55	1	kozepiskola	2	40	3	4	3	3	3	3	2	3	3	5	4	4	4	6	6	6	4	3	5.6667	4.4	2.3333	3	5.6667	3.2	4	2.5	3.75	3.6	3.125	2.8333	3.5	2.3333	2.3333	19	25	18	20	18	7	11	13	10	135
522	no	37	0	foiskola	4	70	4	4	4	5	2	2	2	3	1	6	5	6	6	5	6	6	6	5.3333	4	4.8	4.3333	2.6667	4	4.8	4.75	4.75	5	4.775	4.875	2.6667	3.25	3.3333	3.3333	22	24	26	24	25	9	25	9	3	183
524	no	52	2	foiskola	3	70	5	4	5	5	3	4	3	3	1	7	7	7	7	7	6	6	6	5.3333	5.3333	5.8	3.3333	5	6	5.2	5.5	6	6	5.35	6	3.6667	4	3	3.6667	26	22	28	28	30	9	28	4	0	207
529	no	47	1	foiskola	3	20	3	5	3	3	2	4	4	4	5	6	6	6	5	6	6	6	5	5.3333	5.3333	5.2	5.3333	4.3333	5.3333	5	5.25	3	2.5	5.125	2.75	3.5	4	3.6667	4	25	22	29	27	25	9	18	6	0	189
531	no	35	1	foiskola	3	40	2	4	2	3	4	3	4	3	4	6	5	4	4	4	5	6	5	3.6667	4	3.8	3	3.3333	4.3333	3.2	3.75	2.5	4.25	3.475	3.375	2.5	3.25	2	2.6667	17	19	21	22	17	7	17	18	0	142
536	no	54	0	egyetem	3	50	4	4	4	4	3	3	4	3	3	6	6	6	6	6	6	6	6	4.3333	6	5	4.3333	4	5.3333	3.4	4	3.75	4	3.7	3.875	3.3333	3.5	3	3.6667	15	27	21	22	21	5	20	15	5	151
549	ferfi	57	2	egyetem	3	80	5	5	5	5	2	2	2	2	2	6	6	6	6	6	6	6	6	5.3333	5	5	6	5	5	5	5	5	5	5	5	3	3	4	3.6667	24	18	23	20	24	8	21	6	2	170
552	no	68	1	kozepiskola	3	50	4	3	6	4	3	3	3	3	3	6	7	6	6	6	6	7	7	5	5.6667	4.2	5.3333	3.6667	4.3333	4.4	4.5	3.5	3	4.45	3.25	3.1667	2.75	3.6667	4	22	22	25	19	24	8	23	5	1	177
554	no	51	9	foiskola	4	70	5	4	5	6	1	4	4	1	6	6	6	7	7	7	6	7	7	5.3333	6	5.6	4	3.6667	6	5.4	4.75	4.5	5.25	5.075	4.875	3.5	3.75	2.3333	3.3333	27	28	29	28	20	9	25	11	2	193
564	no	43	3	foiskola	3	30	4	3	3	3	3	4	3	3	5	4	5	5	5	6	6	6	5	3.6667	4.3333	4.2	4.3333	1	3.6667	3.8	4	3	3	3.9	3	2.6667	3.25	3	1	20	19	18	22	20	8	24	16	6	149
568	no	52	0	foiskola	3	50	5	5	5	5	3	4	3	3	1	4	4	5	5	5	6	6	5	3.6667	3.6667	3.2	5.3333	4	4	4	3.75	3.75	3	3.875	3.375	2.5	2.25	3.6667	3.3333	24	21	25	23	20	10	26	10	2	177
577	no	58	3	egyetem	3	60	4	4	4	3	3	3	3	3	3	6	6	6	6	5	5	5	5	5	4.6667	4.2	3.3333	3.6667	5.3333	4.2	4.75	3.5	4.5	4.475	4	3.3333	3.25	3	3.6667	24	24	25	26	23	8	22	10	1	181
580	no	43	9	kozepiskola	3	30	4	3	4	3	4	4	4	4	3	3	5	4	4	5	5	6	5	3.3333	4	3	3	3.6667	3	3.6	2.75	2.25	2.5	3.175	2.375	2.1667	2	2.3333	2	19	15	14	17	13	6	18	18	2	122
