index	neme	eletkora	gyermeke	isk	anyagi	p_elmeny_percent	testi_fi	alt_lelki	alt_eg_all	fizero	arcocska	aggodalo	ideges	feszult	nyugtala	diener1	diener2	diener3	diener4	diener5	diener6	diener7	diener8	jollet	savor	a_vhat	onreg	rezil	m_flow	g_jerz	g_jpszi	g_jszoc	g_jspir	g_jerzpsz	g_jspszoc	pik_mm	pik_av	pik_onr	pik_rez	p_poz_erz	p_elmely	p_poz_kapc	p_ert_cel	p_telj	p_boldog	p_egeszs	p_neg_erz	p_magany	perma
1594	ferfi	43	1	kozepiskola	3	80	3	4	2	4	2	1	1	1	2	7	7	7	6	7	7	7	7	5	4.3333	5.2	3.6667	4.3333	5.3333	4	4.75	4	5	4.375	4.5	3.8333	3	3.6667	3.3333	27	27	18	27	28	10	22	8	0	191
1598	ferfi	72	2	kozepiskola	3	40	4	4	NA	3	3	2	4	3	4	6	6	5	6	6	6	6	6	4.3333	4.3333	4.6	4.3333	4.3333	5	4	4	4	4.5	4	4.25	3.1667	3	3	3	20	19	21	20	17	7	20	7	1	156
1603	ferfi	58	2	kozepiskola	3	20	5	6	5	6	2	1	1	1	1	6	6	6	6	6	6	6	6	5	5	4.8	2.3333	4	4.3333	5	4.75	4.75	4.75	4.875	4.75	2.6667	2.75	2.6667	3.6667	25	27	25	27	25	9	22	16	0	184
1607	no	68	1	egyetem	3	80	2	3	3	3	5	4	3	4	3	4	5	4	4	5	4	4	4	3	4.6667	4	4	4	4.6667	2.4	3.25	3.75	4.25	2.825	4	2.5	3	2.3333	2.6667	21	20	24	18	23	7	17	11	8	151
1611	ferfi	70	2	kozepiskola	3	50	5	6	6	4	1	1	1	1	1	6	6	7	5	7	7	7	6	5.3333	4.6667	5.8	6	5	6	5.2	5	5.25	5.5	5.1	5.375	3.6667	4	4	4	28	30	29	29	22	9	29	4	0	212
1612	ferfi	52	0	kozepiskola	3	30	2	2	3	2	4	4	5	5	6	2	2	2	2	2	2	2	2	1.6667	1	1.4	1.3333	3	3.3333	2.2	2.25	2.25	2.25	2.225	2.25	1.1667	1.5	1	1.6667	6	10	6	8	14	2	8	13	2	79
1620	ferfi	34	3	kozepiskola	3	50	4	3	3	5	4	4	6	6	2	4	3	4	3	5	5	5	5	3.6667	5	3.6	2.6667	3	4.6667	2.8	4.25	3.5	3.5	3.525	3.5	2.8333	2.75	1.3333	2.3333	14	22	7	8	18	5	21	12	1	122
1622	ferfi	55	2	foiskola	3	80	4	6	5	5	3	2	1	1	2	7	7	7	5	7	7	7	6	5	5.3333	4.8	5.3333	5	6	4.8	5.75	6	5.25	5.275	5.625	3.5	2.5	4	4	27	28	28	26	27	9	24	5	2	202
1626	ferfi	50	2	egyetem	3	60	3	5	3	3	3	2	2	2	3	4	4	5	5	5	5	4	5	4.3333	3	4.8	4.6667	4.6667	5	3.4	3.25	3.75	4.5	3.325	4.125	2.3333	3.5	4	2.3333	20	22	17	18	17	6	15	8	6	141
1627	ferfi	62	2	foiskola	3	90	4	4	4	NA	1	1	1	2	2	6	6	7	7	7	6	7	6	5.3333	4	4.8	4.3333	4	5.3333	4.4	4.25	3.5	5	4.325	4.25	3.6667	3.5	3	3	26	25	25	25	26	9	25	5	9	187
